wave,temp,time,intensity
599.8177,25,0,92.4064
601.7464,25,0,93.1177
603.6751,25,0,93.3507
605.6037,25,0,93.2874
607.5324,25,0,93.8345
609.4611,25,0,93.8299
611.3898,25,0,93.0992
613.3184,25,0,92.6602
615.2471,25,0,92.4573
617.1758,25,0,93.0054
619.1045,25,0,94.0788
621.0331,25,0,94.1047
622.9618,25,0,93.544
624.8905,25,0,93.2791
626.8192,25,0,93.442
628.7478,25,0,94.1273
630.6765,25,0,94.1085
632.6052,25,0,93.3685
634.5339,25,0,93.2424
636.4625,25,0,93.7915
638.3912,25,0,94.2651
640.3199,25,0,94.0701
642.2486,25,0,93.7673
644.1772,25,0,93.8268
646.1059,25,0,93.865
648.0346,25,0,93.7882
649.9633,25,0,93.8193
651.8919,25,0,93.9509
653.8206,25,0,94.0121
655.7493,25,0,93.9549
657.678,25,0,93.9381
659.6066,25,0,94.0818
661.5353,25,0,94.1173
663.464,25,0,94.0874
665.3926,25,0,94.1989
667.3213,25,0,94.391
669.25,25,0,94.3254
671.1787,25,0,94.1924
673.1073,25,0,94.1864
675.036,25,0,94.2113
676.9647,25,0,94.2987
678.8934,25,0,94.2939
680.822,25,0,94.2453
682.7507,25,0,94.3366
684.6794,25,0,94.3236
686.6081,25,0,94.2036
688.5367,25,0,94.0938
690.4654,25,0,93.9986
692.3941,25,0,94.0308
694.3228,25,0,94.0845
696.2514,25,0,93.9808
698.1801,25,0,93.8516
700.1088,25,0,93.8335
702.0375,25,0,93.7866
703.9661,25,0,93.7216
705.8948,25,0,93.7402
707.8235,25,0,93.697
709.7522,25,0,93.5826
711.6808,25,0,93.5243
713.6095,25,0,93.4193
715.5382,25,0,93.0808
717.4669,25,0,92.5691
719.3955,25,0,92.1381
721.3242,25,0,91.9534
723.2529,25,0,91.85
725.1816,25,0,91.7408
727.1102,25,0,91.7866
729.0389,25,0,91.9237
730.9676,25,0,92.0483
732.8962,25,0,92.1648
734.8249,25,0,92.2231
736.7536,25,0,92.1333
738.6823,25,0,91.9087
740.6109,25,0,91.6724
742.5396,25,0,91.4977
744.4683,25,0,91.4027
746.397,25,0,91.4017
748.3256,25,0,91.4889
750.2543,25,0,91.6323
752.183,25,0,91.7663
754.1117,25,0,91.8679
756.0403,25,0,91.9574
757.969,25,0,92.0235
759.8977,25,0,92.0906
761.8264,25,0,92.1652
763.755,25,0,92.2441
765.6837,25,0,92.3508
767.6124,25,0,92.4903
769.5411,25,0,92.6426
771.4697,25,0,92.7449
773.3984,25,0,92.7938
775.3271,25,0,92.9041
777.2558,25,0,93.0295
779.1844,25,0,93.0287
781.1131,25,0,93.0102
783.0418,25,0,93.053
784.9705,25,0,93.1185
786.8991,25,0,93.1982
788.8278,25,0,93.1791
790.7565,25,0,93.0755
792.6852,25,0,93.0052
794.6138,25,0,92.9353
796.5425,25,0,92.8002
798.4712,25,0,92.635
800.3999,25,0,92.5175
802.3285,25,0,92.4063
804.2572,25,0,92.2636
806.1859,25,0,92.1392
808.1145,25,0,92.0496
810.0432,25,0,91.9816
811.9719,25,0,91.9694
813.9006,25,0,92.007
815.8292,25,0,92.0722
817.7579,25,0,92.2108
819.6866,25,0,92.3957
821.6153,25,0,92.5817
823.5439,25,0,92.7281
825.4726,25,0,92.799
827.4013,25,0,92.8874
829.33,25,0,92.985
