Model,Compound,Train Accuracy,Test Accuracy
Linear Regression,,0.096841802,0.091890785
Partial Least Squares (n=2),,0.096839946,0.091881351
Partial Least Squares (n=3),,0.096841802,0.091890785
Random Forest Regression (max_depth = 2),,0.460388577,0.467326808
Random Forest Regression (max_depth = 5),,0.871161393,0.86683928
Random Forest Regression (max_depth = 7),,0.937524008,0.93782272
Random Forest Regression (max_depth = 10),,0.973788127,0.97281865
Random Forest Regression (max_depth = 15),,0.995061738,0.991194933
SVR RBF Kernel,,0.121108247,0.115695872
Gradient Boost Regressor,,0.949870079,0.947560506
